"CNTY","CHILD_DEATH_YR","UNDERLYING_COD","CNT_BY_UNDERLYING_COD","CNTY_YR_DEATH_TOTAL","PCT_CNTY_YR_TOTAL","CHILD_DEATH_CNTY_POP","CNTY_YR_DEATH_TOTAL_PER_10000_CNTY_RES"
ADAMS,2010,Other specified noninfective disorders of lymphatic vessels and lymph nodes,1,4,25.000000,34387,1.160000
ADAMS,2010,Unspecified pulmonary hemorrhage originating in the perinatal period,1,4,25.000000,34387,1.160000
ADAMS,2010,"Congenital malformation of the heart, unspecified",1,4,25.000000,34387,1.160000
ADAMS,2010,"Polycystic kidney, unspecified",1,4,25.000000,34387,1.160000
ADAMS,2011,Primary atelectasis of newborn,1,5,20.000000,34384,1.450000
ADAMS,2011,"Renal agenesis, unspecified",1,5,20.000000,34384,1.450000
ADAMS,2011,"Bacterial sepsis of newborn, unspecified",1,5,20.000000,34384,1.450000
ADAMS,2011,Other specified conditions originating in the perinatal period,1,5,20.000000,34384,1.450000
ADAMS,2011,"Influenza with pneumonia, virus not identified",1,5,20.000000,34384,1.450000
ADAMS,2012,Persistent fetal circulation,1,2,50.000000,34439,0.580000
ADAMS,2012,"Chromosomal abnormality, unspecified",1,2,50.000000,34439,0.580000
ADAMS,2013,Sudden infant death syndrome,3,4,75.000000,34664,1.150000
ADAMS,2013,"Congenital malformation of brain, unspecified",1,4,25.000000,34664,1.150000
ADAMS,2014,Other bacterial sepsis of newborn,1,1,100.000000,34764,0.280000
ADAMS,2015,Other viral infections of unspecified site,1,3,33.333300,34967,0.850000
ADAMS,2015,Unspecified pulmonary hemorrhage originating in the perinatal period,1,3,33.333300,34967,0.850000
ADAMS,2015,Sepsis of newborn due to Escherichia coli,1,3,33.333300,34967,0.850000
ADAMS,2016,Other reduction deformities of brain,1,6,16.666600,35232,1.700000
ADAMS,2016,Hydrops fetalis not due to hemolytic disease,1,6,16.666600,35232,1.700000
ADAMS,2016,"Congenital malformation of the heart, unspecified",1,6,16.666600,35232,1.700000
ADAMS,2016,Primary atelectasis of newborn,1,6,16.666600,35232,1.700000
ADAMS,2016,"Sepsis of newborn due to streptococcus, group B",1,6,16.666600,35232,1.700000
ADAMS,2016,"Down's syndrome, unspecified",1,6,16.666600,35232,1.700000
ADAMS,2017,Accidental suffocation and strangulation in bed,2,6,33.333300,35232,1.700000
ADAMS,2017,Disorders of glycine metabolism,1,6,16.666600,35232,1.700000
ADAMS,2017,Hyperkalemia,1,6,16.666600,35232,1.700000
ADAMS,2017,Unspecified chronic respiratory disease originating in the perinatal period,1,6,16.666600,35232,1.700000
ADAMS,2017,Sudden infant death syndrome,1,6,16.666600,35232,1.700000
ADAMS,2018,Other specified cerebrovascular diseases,1,4,25.000000,35232,1.130000
ADAMS,2018,Extreme immaturity,1,4,25.000000,35232,1.130000
ADAMS,2018,Extremely low birthweight,1,4,25.000000,35232,1.130000
ADAMS,2018,Sudden infant death syndrome,1,4,25.000000,35232,1.130000
ADAMS,2018,"Intrauterine hypoxia, unspecified",1,4,25.000000,35232,1.130000
